date,symbol,entry,stop,target,exit,adx,outcome,rr_planned,R
2024-06-08,ETHUSDT,3678.31,3600.0,,3667.85,32.5788416850613,loss,-0.13357170220916925,-0.18993707061678008
2024-11-27,BNBUSDT,613.5,600.02,,676.8,31.715962792837523,win,4.695845697329367,4.641231454005926
2024-12-04,SOLUSDT,233.92,215.0,,229.15,30.647457596461013,loss,-0.25211416490486177,-0.2669505285412254
2024-12-10,BTCUSDT,97276.48,94150.05,,97461.86,43.158479660737825,win,0.05929446685197016,0.02195738398109179
2024-12-10,DOGEUSDT,0.41403,0.38,,0.38,57.358279027502405,loss,-1.0,-1.014599941228328
2024-12-10,AVAXUSDT,45.02,40.4,,44.6,45.63236635095066,loss,-0.09090909090909119,-0.10260259740259768
2024-12-11,ETHUSDT,3628.24,3509.0,,3626.8,40.42503732310833,loss,-0.012076484401204315,-0.04859013753773574
2024-12-11,ADAUSDT,1.0215,0.91,,1.0522,52.917216419166095,win,0.2753363228699546,0.26434260089686046
2024-12-12,DOGEUSDT,0.41402,0.36537,,0.40611,51.416674320176774,loss,-0.16258992805755332,-0.17280213771839606
2024-12-17,LTCUSDT,118.0,114.26,,114.26,39.946649005861495,loss,-1.0,-1.037860962566845
2024-12-18,AVAXUSDT,47.92,47.52,,47.52,34.09729274147303,loss,-1.0,-1.1437600000000006
2024-12-19,LINKUSDT,24.85,24.72,,24.72,43.8101761512185,loss,-1.0,-1.229384615384611
2024-12-20,XRPUSDT,2.2391,2.1595,,2.1595,46.392532808112456,loss,-1.0,-1.0337552763819093
2024-12-21,BTCUSDT,97805.44,92232.54,,97291.99,35.43316445231847,loss,-0.09213335965116838,-0.11319358466866374
2024-12-22,XRPUSDT,2.2379,1.9601,,2.2031,40.27013710598274,loss,-0.12526997840172693,-0.13493693304535545
2024-12-24,XRPUSDT,2.2616,2.1308,,2.1308,34.875060972321066,loss,-1.0,-1.020748623853211
2025-01-28,SOLUSDT,234.9,220.89,,227.06,32.21854947722437,loss,-0.5596002855103492,-0.5797201998572442
2025-01-30,SOLUSDT,228.16,220.89,,220.89,30.274183384262354,loss,-1.0,-1.037660522696011
2025-05-24,BNBUSDT,656.99,648.49,,655.36,33.516046906818396,loss,-0.1917647058823524,-0.28451623529411707
2025-05-29,SOLUSDT,172.22,168.92,,168.92,31.42901684776282,loss,-1.0,-1.0626254545454543
2025-05-31,ETHUSDT,2531.35,2507.35,,2507.35,32.46856807389826,loss,-1.0,-1.1265675
2025-06-01,BNBUSDT,658.01,645.04,,645.04,31.435214826210544,loss,-1.0,-1.0608798766383962
2025-06-02,ETHUSDT,2539.2,2468.56,,2468.56,30.47241280675522,loss,-1.0,-1.0431347678369196
2025-07-29,DOGEUSDT,0.22616,0.22426,,0.22426,37.3863302495766,loss,-1.0,-1.1428378947368412
2025-07-29,ADAUSDT,0.7932,0.786,,0.786,44.160552995572665,loss,-1.0,-1.1322000000000003
